"codmunres","ano","garbage_morbidade_neonatal_i_algumas_doencas_infecciosas_e_parasitarias","garbage_morbidade_neonatal_vi_doencas_do_sistema_nervoso","garbage_morbidade_neonatal_x_doencas_do_aparelho_respiratorio","garbage_morbidade_neonatal_ii_neoplasias_tumores","garbage_morbidade_neonatal_xvii_malformacoes_congenitas_deformidades_e_anomalias_cromossomicas","garbage_morbidade_neonatal_xviii_sintomas_sinais_e_achados_anormais_de_exames_clinicos_e_de_laboratorio_nao_classificados_em_outra_parte","garbage_morbidade_neonatal_ix_doencas_do_aparelho_circulatorio","garbage_morbidade_neonatal_xiv_doencas_do_aparelho_geniturinario","garbage_morbidade_neonatal_xix_lesoes_envenenamento_e_algumas_outras_consequencias_de_causas_externas","garbage_morbidade_neonatal_iv_doencas_endocrinas_nutricionais_e_metabolicas","garbage_morbidade_neonatal_iii_doencas_do_sangue_e_dos_orgaos_hematopoeticos_e_alguns_transtornos_imunitarios","garbage_morbidade_neonatal_xii_doencas_da_pele_e_do_tecido_subcutaneo","garbage_morbidade_neonatal_xi_doencas_do_aparelho_digestivo","garbage_morbidade_neonatal_xvi_algumas_afeccoes_originadas_no_periodo_perinatal","garbage_morbidade_neonatal_xiii_doencas_do_sistema_osteomuscular_e_do_tecido_conjuntivo","garbage_morbidade_neonatal_v_transtornos_mentais_e_comportamentais","garbage_morbidade_neonatal_viii_doencas_do_ouvido_e_da_apofise_mastoide","garbage_morbidade_neonatal_vii_doencas_do_olho_e_anexos","garbage_morbidade_neonatal_na","garbage_morbidade_neonatal_xv_gravidez_parto_e_puerperio","garbage_morbidade_neonatal_xx_causas_externas_de_morbidade_e_de_mortalidade","internacoes_neonatais_totais"
"110008",2020,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10
"110008",2021,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
"110008",2022,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"110008",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"110008",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"110008",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"110008",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"110008",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"110009",2012,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"110009",2013,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"110009",2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"110009",2015,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"110009",2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"110009",2017,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34
"110009",2018,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
"110009",2019,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"110009",2020,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,33
"110009",2021,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30
"110009",2022,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51
"110009",2023,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,44
"110010",2012,2,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,88
"110010",2013,1,0,4,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,92
"110010",2014,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"110010",2015,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"110010",2016,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95
"110010",2017,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118
"110010",2018,16,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93
"110010",2019,21,0,4,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,104
"110010",2020,19,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,107
"110010",2021,3,0,3,0,0,4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,104
"110010",2022,8,0,6,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,92
"110010",2023,1,0,5,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,101
"110011",2012,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22
"110011",2013,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
"110011",2014,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"110011",2015,4,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,42
"110011",2016,5,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,48
"110011",2017,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"110011",2018,6,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,54
"110011",2020,0,0,1,0,0,6,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,61
"110011",2021,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36
"110011",2022,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"110011",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,47
"110011",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"110012",2012,0,0,8,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,106
"110012",2013,6,1,5,0,0,0,2,0,1,0,0,1,0,1,1,0,0,1,0,0,0,164
"110012",2014,3,0,9,0,0,1,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,184
"110012",2015,7,0,10,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,185
"110012",2016,14,0,4,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,149
"110012",2017,7,0,2,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,140
"110012",2018,4,2,5,0,0,0,1,0,2,1,0,0,5,1,0,0,0,0,0,0,0,145
"110012",2019,4,3,9,0,0,0,3,4,3,1,0,0,1,1,0,0,1,0,0,0,0,151
"110012",2020,1,1,2,0,1,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,125
"110012",2021,12,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,200
"110012",2022,2,1,5,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,207
"110012",2023,1,0,2,1,0,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,133
"110013",2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"110013",2013,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"110013",2014,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12
"110013",2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
"110013",2016,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28
"110013",2017,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"110013",2018,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21
"110013",2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"110013",2020,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24
"110013",2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,18
"110013",2022,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
"110013",2023,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"110014",2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"110014",2013,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25
"110014",2014,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"110014",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"110014",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"110014",2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"110014",2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"110014",2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"110014",2023,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
"110014",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"110014",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"110014",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"110015",2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"110015",2013,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23
"110015",2014,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"110015",2015,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"110015",2016,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"110015",2017,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26
"110015",2018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"110015",2019,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25
"110015",2020,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29
"110015",2021,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28
"110015",2022,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"110015",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"110018",2012,0,0,3,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,43
"110018",2013,1,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38
"110018",2014,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,39
"110018",2015,0,0,2,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,60
"110018",2016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"110018",2017,2,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,55
"110018",2018,0,0,2,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,59
"110018",2019,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,39
"110018",2020,1,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,42
"110018",2021,2,0,2,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,73
"110018",2022,2,0,3,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,92
"110018",2023,3,0,2,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,91
"110020",2012,15,2,24,0,1,5,2,2,5,0,0,1,4,2,3,0,0,0,0,0,0,1289
"110020",2013,11,4,19,0,1,1,3,1,15,1,0,0,2,2,7,0,0,0,0,0,0,1754
"110020",2014,372,4,18,0,0,2,2,0,4,0,0,1,1,0,2,0,0,0,0,0,0,1457
"110020",2015,557,8,13,0,1,4,0,3,5,0,0,1,1,0,2,0,2,0,0,0,0,1676
"110020",2016,336,6,7,0,0,1,0,0,2,4,1,0,1,4,3,0,0,1,0,0,0,1571
"110020",2017,211,4,7,0,0,2,1,0,2,0,0,0,0,5,3,0,1,0,0,0,0,1208
"110020",2018,43,3,5,0,3,11,1,0,2,1,0,0,5,5,3,0,0,1,0,0,0,1464
"110020",2019,38,5,12,0,2,1,1,3,2,0,1,0,1,15,0,0,2,1,0,0,0,1634
"110020",2020,24,3,5,0,1,4,0,5,4,0,0,0,2,3,1,0,0,1,0,0,0,1385
"110020",2021,22,1,1,0,0,8,3,2,3,0,0,1,1,4,5,0,0,0,0,0,0,1108
"110020",2022,151,1,10,0,1,4,0,1,3,0,0,0,2,2,1,0,0,0,0,0,0,1084
"110020",2023,142,5,8,2,2,2,1,4,8,0,0,1,2,1,3,0,0,0,0,0,0,1340
"110025",2012,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"110025",2013,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15
"110025",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"110025",2016,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"110025",2017,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24
"110025",2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"110025",2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"110025",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"110025",2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20
"110025",2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"110025",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23
"110025",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"110026",2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"110026",2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"110026",2019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"110026",2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"110026",2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"110026",2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"110026",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
