uf,cod_uf,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total
Rondônia,11,2012,20413,270,1092,4243,495,480.0495,179.7404,54.5688,510.8572,481.7105,223.1,66.3497,510.8572,360.7255,123.8126,52.2042,510.8572,6100,64.4156,203.5818,59.2458,26513
Rondônia,11,2013,20730,206,1226,4380,540,480.0495,179.7404,57.0634,510.8572,483.308,208.0819,66.3497,510.8572,334.3138,114.0612,54.5688,510.8572,6352,64.99,131.0168,59.5028,27097
Rondônia,11,2014,20512,250,1333,4816,644,480.0495,203.5818,59.2458,510.8572,483.308,223.1,94.9454,510.8572,302.1936,123.8126,57.0634,510.8572,7043,77.3936,203.5818,61.6844,27560
Rondônia,11,2015,20170,297,1566,5146,736,480.0495,180.7941,59.5028,510.8572,483.308,223.1,94.9454,510.8572,353.1487,122.2693,58.2922,510.8572,7745,85.8202,203.5818,63.566,27918
Rondônia,11,2016,18951,236,1552,5165,697,457.4312,186.1847,61.2882,510.8572,483.308,223.1,94.9454,543.3227,283.7651,122.8315,58.2922,510.8572,7650,85.8202,203.5818,62.5769,26602
Rondônia,11,2017,20029,282,1454,5157,581,409.766,179.7404,59.5028,510.8572,480.0495,223.1,94.9454,757.296,302.1936,123.8126,57.0634,510.8572,7474,75.15,131.0168,61.2882,27503
Rondônia,11,2018,20762,306,1325,5121,577,430.8257,159.5067,59.5028,510.8572,483.308,231.375,94.9454,510.8572,334.3138,110.5588,57.0634,510.8572,7329,71.9963,115.7695,61.6844,28091
Rondônia,11,2019,19998,340,1310,4829,550,409.766,170.6152,59.5028,510.8572,481.7105,223.1,94.9454,757.296,261.9043,112.591,57.0634,510.8572,7029,70.7999,115.7695,61.6844,27028
Rondônia,11,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondônia,11,2021,18758,379,1357,4585,356,481.7105,157.4289,58.2922,510.8572,499.3747,208.0819,94.9454,510.8572,268.3308,131.0439,57.0634,510.8572,6677,66.3497,115.7695,61.6844,25439
Rondônia,11,2022,18363,328,1324,4464,420,480.0495,179.7404,58.2922,510.8572,483.308,223.1,87.1502,510.8572,313.5066,142.0344,48.6625,510.8572,6536,66.3497,114.4831,59.5028,24901
Rondônia,11,2023,17415,343,1257,4511,394,480.0495,179.7404,59.5028,510.8572,483.308,208.0819,88.9952,510.8572,334.3138,142.0344,49.096,510.8572,6505,77.3936,110.2141,61.6844,23921
Rondônia,11,2024,15540,326,997,3812,337,480.0495,179.7404,59.5028,510.8572,483.308,223.1,88.9952,510.8572,334.3138,122.2693,49.096,510.8572,5472,81.2011,108.5863,61.2882,21012
Acre,12,2012,13096,27,429,3148,0,0,234.3166,60.4966,510.8572,0,230.9522,60.4966,2897.2904,0,234.3166,60.4966,223.1406,3604,72.9459,84.7061,60.4966,16700
Acre,12,2013,13357,40,406,3272,0,0,234.3166,60.4966,425.6569,0,230.9522,60.4966,1907.6322,0,234.3166,60.4966,392.3086,3718,72.9459,82.2347,60.4966,17075
Acre,12,2014,13254,29,395,3461,0,0,230.9522,60.4966,459.0053,0,230.9522,60.4966,3098.9591,0,230.9522,60.4966,392.3086,3885,60.4966,82.2347,60.4966,17139
Acre,12,2015,12935,31,469,3545,0,0,234.3166,60.4966,510.8572,0,230.9522,60.4966,3650.632,0,234.3166,60.4966,510.8572,4045,72.9459,82.2347,72.9459,16980
Acre,12,2016,11950,42,463,3318,0,0,230.9522,60.4966,425.6569,0,230.9522,60.4966,3134.0071,0,230.9522,60.4966,392.3086,3823,72.9459,84.7061,72.9459,15773
Acre,12,2017,12172,38,473,3675,0,0,230.9522,60.4966,510.8572,0,234.3166,60.4966,3374.7955,0,230.9522,60.4966,392.3086,4186,72.9459,82.2347,72.9459,16358
Acre,12,2018,12349,37,430,3727,0,0,226.9878,60.4966,459.0053,0,230.9522,60.4966,3228.6488,0,226.9878,60.4966,392.3086,4194,72.9459,82.2347,72.9459,16543
Acre,12,2019,12037,29,418,3796,0,0,230.9522,60.4966,701.964,0,234.3166,60.4966,2431.4478,0,226.9878,60.4966,392.3086,4243,72.9459,60.4966,72.9459,16280
Acre,12,2020,11164,14,445,3519,0,0,226.9878,60.4966,1983.1237,0,230.9522,60.4966,3650.632,0,226.9878,60.4966,510.8572,3978,72.9459,82.2347,71.7264,15142
Acre,12,2021,11409,26,486,3777,0,0,230.9522,60.4966,1090.6208,0,234.3166,60.4966,3705.4026,0,226.9878,60.4966,795.4521,4289,72.9459,82.2347,72.9459,15699
Acre,12,2022,10605,29,456,3393,0,0,230.9522,60.4966,2062.3543,0,230.9522,60.4966,3219.6442,0,226.9878,71.7264,990.3902,3878,72.9459,82.2347,72.9459,14483
Acre,12,2023,10457,26,468,3522,0,0,230.9522,71.7264,945.8746,0,234.3166,60.4966,2897.2904,0,230.9522,71.7264,904.9679,4016,72.9459,82.2347,72.9459,14473
Acre,12,2024,8349,25,376,2933,0,0,234.3166,71.7264,3052.9509,0,234.3166,60.4966,3052.9509,0,230.9824,71.7264,1177.0624,3334,72.9459,82.2347,72.9459,11683
Amazonas,13,2012,72909,829,472,2611,605,267.9083,101.5978,80.6207,223.1406,267.9083,101.5978,80.6207,223.1406,267.9083,101.5978,80.6207,223.1406,4517,105.0942,125.7539,101.5978,77434
Amazonas,13,2013,74531,654,493,2879,466,267.9083,101.5978,80.6207,214.2295,267.9083,101.5978,80.6207,223.1406,267.9083,130.5185,65.2453,100.1685,4492,101.5978,125.7539,94.6299,79041
Amazonas,13,2014,76032,703,555,3268,564,267.9083,130.5185,80.6207,205.3184,337.0199,101.5978,125.9933,223.1406,267.9083,130.5185,67.7886,21.8444,5090,101.5978,125.9933,89.8638,81145
