CODMUNRES,ANO,Obito_Materno_investigado_com_Ficha_Sintese,Obito_Materno_investigado_sem_Ficha_Sintese,TOTAL_OBITOS_MATERNOS
150200,2012,0,0,1
150200,2019,0,0,1
150210,2012,1,0,1
150210,2013,1,0,1
150210,2014,2,0,2
150210,2015,1,0,1
150210,2016,3,0,3
150210,2017,3,0,3
150210,2018,3,0,3
150215,2012,0,0,1
150215,2018,1,0,1
150215,2019,2,0,2
150215,2020,1,0,1
150220,2014,4,0,4
150220,2015,1,0,1
150220,2019,2,0,2
150220,2020,1,0,1
150230,2012,1,0,2
150230,2013,2,0,2
150230,2014,1,0,1
150230,2015,1,0,1
150230,2016,1,0,1
150230,2018,3,0,3
150230,2020,1,0,1
150240,2012,2,0,2
150240,2013,3,0,3
150240,2014,3,0,3
150240,2015,1,0,2
150240,2018,2,0,2
150240,2019,2,0,2
150240,2020,2,0,2
150250,2014,1,0,1
150250,2018,1,0,1
150250,2019,1,0,1
150260,2015,1,0,1
150260,2019,1,0,1
150270,2014,2,0,2
150270,2017,1,0,1
150270,2018,1,0,1
150270,2019,1,0,1
150275,2013,2,1,3
150275,2015,1,0,1
150275,2016,2,0,2
150275,2019,1,0,1
150276,2019,1,0,1
150277,2012,1,0,1
150277,2014,1,0,1
150277,2018,1,0,1
150280,2012,1,0,1
150280,2013,1,0,1
150280,2017,1,0,1
150280,2019,4,0,4
150280,2020,1,0,1
150285,2013,0,1,1
150285,2014,1,0,1
150285,2020,1,0,1
150290,2013,2,0,2
150290,2016,1,0,1
150290,2018,1,0,1
150293,2014,1,0,1
150293,2016,2,0,2
150293,2017,3,0,3
150293,2018,1,0,1
150293,2019,1,0,1
150293,2020,2,0,2
150295,2019,2,0,2
150295,2020,1,0,1
150300,2017,1,0,1
150300,2019,1,0,1
150304,2019,1,0,1
150307,2012,1,0,1
150307,2015,1,0,1
150309,2012,1,0,1
150309,2013,1,0,1
150309,2015,1,0,1
150309,2019,1,0,1
150310,2015,1,0,1
150310,2016,1,0,1
150320,2013,1,0,1
150320,2015,1,0,1
150320,2018,1,0,1
150320,2020,1,0,1
150330,2012,1,0,1
150330,2013,1,0,1
150330,2014,3,0,3
150330,2016,1,0,1
150330,2017,1,0,1
150330,2018,2,0,2
150330,2019,1,0,1
150330,2020,3,0,3
150340,2016,1,0,1
150345,2013,1,0,1
150345,2015,1,0,1
150345,2016,1,0,1
150345,2017,3,0,3
150345,2019,1,0,1
150350,2014,1,0,1
150350,2017,1,0,1
150350,2020,1,0,1
150360,2012,1,0,1
150360,2013,4,0,4
150360,2014,3,0,3
150360,2015,2,0,2
150360,2016,2,0,2
150360,2017,2,0,2
150360,2018,2,0,2
150360,2019,3,0,3
150360,2020,1,0,1
150370,2016,2,0,2
150370,2017,1,0,1
150370,2018,1,0,1
150375,2013,1,0,1
150375,2014,1,0,1
150375,2019,1,0,1
150375,2020,1,0,1
150380,2012,0,1,1
150380,2013,2,1,3
150380,2016,1,0,1
150380,2020,1,0,1
150390,2015,1,0,1
150390,2016,1,0,1
150390,2017,1,0,2
150390,2018,1,0,1
150390,2020,1,0,1
150400,2012,1,0,1
150400,2014,3,0,3
150400,2017,1,0,1
150405,2013,1,0,1
150405,2015,1,0,1
150405,2016,1,0,1
150405,2019,1,0,1
150420,2012,3,0,3
150420,2013,7,0,7
150420,2014,4,0,4
150420,2015,2,0,2
150420,2016,2,0,3
150420,2017,3,0,3
150420,2018,4,0,4
150420,2019,5,0,5
150420,2020,9,0,9
150440,2013,2,0,2
150440,2017,1,0,1
150440,2018,1,0,1
150442,2012,1,0,1
150442,2013,1,0,1
150442,2014,1,0,1
150442,2015,1,0,1
150442,2016,1,0,1
150442,2017,3,0,3
150442,2018,2,0,2
150445,2015,1,0,1
150445,2017,1,0,1
150445,2018,1,0,1
150445,2019,1,0,1
150445,2020,1,0,1
150450,2013,1,0,1
150450,2014,3,0,3
150450,2015,1,0,1
150450,2016,5,0,5
150450,2017,2,0,2
150450,2019,1,0,1
150460,2012,1,0,1
150460,2016,3,0,3
150460,2017,1,0,1
150470,2014,1,0,1
150470,2015,1,0,2
150470,2016,2,0,2
150470,2017,1,0,1
150470,2019,1,0,1
150470,2020,1,0,1
150475,2016,1,0,1
150475,2019,1,0,1
150480,2016,1,0,1
150480,2017,1,0,1
150480,2018,1,0,1
150480,2019,1,0,1
150480,2020,1,0,1
150490,2018,1,0,1
150495,2013,0,1,2
150495,2014,1,0,1
150495,2019,1,0,1
150495,2020,1,0,1
150497,2017,1,0,1
150500,2012,1,0,1
150503,2019,2,0,2
150506,2017,1,0,1
150506,2018,1,0,1
150506,2019,2,0,2
150506,2020,1,0,1
150510,2015,2,0,2
150510,2016,1,0,1
150510,2017,1,0,2
150510,2018,1,0,1
150510,2020,1,0,1
150520,2012,2,0,2
150520,2013,2,0,2
150520,2014,1,0,1
150520,2015,2,0,2
150520,2018,1,0,1
150520,2019,3,0,3
150520,2020,1,0,1
150530,2012,3,1,4
150530,2013,2,0,2
150530,2014,1,0,1
150530,2016,1,0,1
150530,2017,2,0,2
150530,2020,1,0,1
150540,2015,1,0,1
150540,2020,1,0,1
150543,2014,2,0,2
150543,2016,1,0,1
150543,2018,1,0,1
150543,2020,3,0,3
150548,2013,2,0,2
150548,2015,1,0,1
150548,2016,1,0,1
150548,2017,2,0,2
150548,2018,1,0,1
150548,2019,1,0,1
150548,2020,1,0,1
150549,2014,1,0,1
150549,2017,1,0,1
150550,2015,1,0,1
150550,2017,6,0,6
150550,2018,1,0,1
150550,2019,2,0,2
150550,2020,2,0,2
150553,2012,2,0,2
150553,2013,2,0,2
150553,2014,6,0,6
150553,2015,7,0,7
150553,2016,2,0,2
150553,2017,4,0,4
150553,2018,1,0,1
150553,2019,1,0,1
150553,2020,6,0,6
150555,2018,1,0,1
150560,2019,1,0,1
150563,2019,1,0,1
150565,2014,1,0,1
150570,2016,2,0,2
150570,2018,1,0,1
150570,2019,2,0,2
150580,2014,3,0,3
150580,2015,2,0,2
150580,2017,6,0,6
150580,2018,1,0,1
150580,2019,1,0,1
150580,2020,2,0,2
150590,2014,2,0,2
150590,2015,2,0,2
150590,2016,1,0,1
150590,2020,1,0,1
150600,2012,0,1,1
150600,2014,2,0,2
150600,2016,1,0,1
150600,2017,1,0,1
150600,2020,1,0,1
150610,2014,1,0,1
150610,2018,1,0,1
150613,2014,1,0,1
150613,2015,2,0,2
150613,2016,1,0,1
150613,2017,1,0,1
150613,2019,1,0,1
150613,2020,3,0,3
150616,2012,1,0,1
150616,2013,0,0,1
150616,2014,2,0,2
150618,2012,1,0,1
150618,2017,1,0,1
150618,2018,1,0,1
150618,2019,1,0,1
150619,2015,1,0,1
150619,2019,1,0,1
150619,2020,1,0,1
150620,2012,1,0,1
150620,2016,1,0,1
150620,2017,4,0,4
150620,2020,1,0,1
150630,2017,1,0,1
150630,2020,1,0,1
150640,2015,1,0,1
150650,2013,1,0,1
150650,2014,2,0,2
150650,2016,1,0,1
150650,2017,1,0,1
150650,2018,1,0,1
150655,2013,1,0,1
150655,2014,1,0,1
150655,2016,1,0,1
150658,2018,1,0,1
150658,2020,1,0,1
150670,2016,2,0,2
150680,2012,5,0,5
150680,2013,7,0,7
150680,2014,3,0,3
150680,2015,4,0,4
150680,2016,5,0,5
150680,2017,6,0,6
150680,2018,9,0,9
150680,2019,11,0,11
150680,2020,13,0,13
150700,2012,1,0,2
150700,2014,1,0,1
150700,2016,1,0,1
150715,2012,0,0,1
150720,2012,1,0,1
150720,2019,1,0,1
150720,2020,1,0,1
150730,2012,1,0,1
150730,2013,2,0,2
150730,2014,2,0,2
150730,2016,2,0,2
150730,2017,1,0,1
150730,2019,1,0,1
150730,2020,1,0,1
150745,2018,1,0,1
150745,2019,1,0,1
150745,2020,1,0,1
150747,2017,1,0,1
150747,2019,1,0,1
150750,2013,0,0,1
150750,2015,1,0,1
150760,2012,1,0,1
150760,2013,1,0,1
150760,2014,1,0,1
150760,2015,1,0,1
150760,2016,1,0,1
150760,2017,1,0,1
150760,2019,1,0,1
150760,2020,3,0,3
150770,2012,1,0,1
150770,2014,1,0,1
150770,2018,1,0,1
150770,2020,1,0,1
150775,2014,1,0,1
150780,2019,1,0,1
150790,2013,1,0,1
150790,2019,1,0,1
150790,2020,1,0,1
150795,2013,2,0,2
150795,2014,1,0,1
150795,2015,1,0,1
150795,2016,1,0,1
150795,2017,1,0,1
150795,2018,3,0,3
150795,2019,1,0,1
150795,2020,1,0,1
150796,2013,1,0,1
150796,2020,1,0,1
150800,2014,1,0,1
150800,2016,1,0,1
150800,2017,1,0,1
150800,2018,1,0,1
150800,2019,1,0,1
150800,2020,2,0,2
150803,2014,1,0,1
150803,2019,1,0,1
150805,2016,2,0,2
150805,2017,1,0,1
150808,2013,0,0,1
150808,2017,2,0,2
150810,2012,1,0,1
150810,2013,1,0,1
150810,2014,1,0,1
150810,2016,1,0,1
150810,2017,1,0,1
150810,2018,1,0,1
150810,2019,1,0,1
150812,2012,1,0,1
150812,2015,1,0,1
150815,2017,1,0,1
150815,2018,1,0,1
150815,2019,1,0,1
150815,2020,2,0,2
150820,2012,1,0,2
150820,2013,1,0,1
150820,2014,1,0,1
150820,2016,1,0,1
150820,2019,2,0,2
150830,2015,1,0,1
150830,2016,2,0,2
150830,2017,1,0,1
150830,2018,1,0,1
150830,2020,1,0,1
150835,2017,1,0,1
150840,2012,1,0,3
150840,2015,2,0,2
150840,2017,1,0,1
150840,2018,1,0,1
150840,2019,2,0,2
160010,2013,0,0,1
160015,2012,1,0,1
160015,2015,1,0,1
160021,2013,0,0,1
160021,2018,1,0,1
160021,2020,1,0,1
160023,2015,1,0,1
160023,2016,2,0,2
160023,2020,1,0,1
160027,2016,1,0,1
160027,2018,1,0,1
160027,2019,1,0,1
160030,2012,3,0,3
160030,2013,7,0,8
160030,2014,4,0,4
160030,2015,6,0,6
160030,2016,8,0,8
160030,2017,4,0,4
160030,2018,9,0,9
160030,2019,3,0,3
160030,2020,10,0,10
160040,2016,2,0,2
160040,2018,1,0,1
160040,2020,1,0,1
160050,2013,0,0,1
160050,2015,1,0,1
160050,2016,1,0,1
160050,2017,1,0,1
160053,2018,1,0,1
160055,2018,1,0,1
160060,2012,1,0,1
160060,2013,0,0,2
160060,2014,1,0,1
160060,2015,3,0,3
160060,2016,1,0,1
160060,2017,0,0,1
160060,2020,1,0,2
160070,2012,0,0,1
160070,2013,1,0,1
160070,2014,2,0,3
160070,2015,1,0,1
160070,2016,2,0,2
160070,2017,1,0,1
160080,2019,1,0,1
170030,2013,1,0,1
170035,2018,1,0,1
170035,2019,1,0,1
170035,2020,1,0,1
170040,2018,1,0,1
170070,2012,1,0,1
170070,2017,1,0,1
170100,2013,1,0,1
170190,2020,1,0,1
170200,2015,1,0,1
170200,2019,1,0,1
170210,2012,2,0,2
170210,2013,1,0,1
170210,2014,2,0,2
170210,2015,2,0,2
170210,2017,1,0,1
170210,2018,1,0,1
170210,2020,1,0,1
170220,2012,1,0,1
170220,2014,1,0,1
170220,2016,1,0,1
170220,2020,1,0,1
170230,2014,1,0,1
170240,2013,1,0,1
170240,2014,1,0,1
170290,2016,2,0,2
170290,2018,1,0,1
170305,2017,1,0,1
170310,2016,1,0,1
170330,2013,1,0,1
170370,2015,1,0,1
170380,2019,1,0,1
170384,2015,1,0,1
170389,2015,1,0,1
170550,2013,1,0,1
170550,2020,1,0,1
170560,2017,1,0,1
170600,2017,1,0,1
170625,2016,1,0,1
170650,2012,1,0,1
170650,2019,2,0,2
170700,2020,1,0,1
170720,2016,2,0,2
170740,2013,1,0,1
170820,2020,1,0,1
170900,2012,1,0,1
170950,2015,1,0,1
170950,2016,1,0,1
170950,2017,3,0,3
170950,2018,1,0,1
170950,2020,2,0,2
171050,2019,1,0,1
171070,2012,1,0,1
171190,2015,0,0,1
171190,2016,2,0,2
171245,2013,1,0,1
171280,2015,1,0,1
171320,2016,1,0,1
171320,2017,1,0,1
171330,2014,1,1,2
171330,2016,1,0,1
171360,2020,1,0,1
171370,2015,1,0,1
171420,2017,1,0,1
171488,2014,1,0,1
171488,2019,1,0,1
171515,2016,1,0,1
171610,2015,1,0,1
171610,2020,2,0,2
171620,2013,1,0,1
171620,2017,1,0,1
171650,2012,1,0,1
171650,2013,1,0,1
171650,2014,1,0,1
171650,2016,1,0,1
171650,2017,1,0,1
171660,2013,1,0,1
171665,2017,1,0,1
171670,2012,1,0,1
171670,2014,1,0,1
171790,2019,1,0,1
171820,2018,2,0,2
171820,2019,1,0,1
171850,2014,1,0,1
171855,2016,1,0,1
171855,2019,1,0,1
171880,2017,1,0,1
171884,2020,1,0,1
171889,2012,1,0,1
172020,2020,1,0,1
172025,2018,1,0,1
172049,2017,1,0,1
172080,2013,1,0,1
172090,2014,1,0,1
172090,2015,0,1,1
172097,2013,1,0,1
172097,2019,1,0,1
172100,2012,1,0,1
172100,2013,1,0,1
172100,2014,3,0,3
172100,2015,5,0,5
172100,2016,2,0,2
172100,2017,5,0,5
172100,2019,2,0,2
172100,2020,2,0,2
172110,2012,1,0,1
172110,2016,1,0,1
172110,2019,1,0,1
172120,2012,1,0,1
172120,2015,1,0,1
172120,2020,1,0,1
172208,2017,1,0,1
172210,2015,1,0,1
172210,2019,1,0,1
172210,2020,1,0,1
210005,2012,1,0,2
210005,2016,2,0,2
210005,2017,3,0,3
210005,2018,3,0,3
210005,2019,1,0,1
210005,2020,1,0,1
210010,2012,1,0,1
210010,2013,1,0,1
210010,2014,1,0,1
210010,2015,1,0,1
210010,2017,1,0,1
210020,2014,0,1,1
210020,2015,0,0,1
210030,2012,1,0,1
210030,2013,1,0,1
210030,2017,1,0,1
210030,2018,1,0,1
210030,2020,1,0,1
210043,2014,1,0,1
210043,2016,0,1,1
210043,2017,1,0,1
210047,2012,0,0,1
210047,2013,0,0,2
210047,2014,1,0,1
210050,2015,0,0,1
210050,2016,0,0,1
210060,2012,0,0,2
210060,2013,0,0,1
210060,2014,1,0,1
210060,2017,2,0,2
210060,2018,1,0,1
210060,2020,1,0,1
210070,2016,2,0,2
210070,2020,2,0,2
210083,2016,1,0,1
210083,2017,1,0,1
210087,2013,0,0,1
210087,2018,1,0,1
210090,2014,1,0,1
210090,2019,1,0,1
210095,2012,0,1,1
210095,2014,1,0,2
210095,2015,1,0,1
210095,2018,1,0,1
210095,2019,3,0,3
210100,2019,1,0,1
210110,2020,1,0,1
210120,2012,0,0,1
210120,2013,1,0,1
210120,2015,2,0,3
210120,2017,2,0,2
210120,2018,3,0,3
210125,2015,0,0,1
210135,2015,0,0,1
210135,2017,1,0,1
210140,2013,1,0,1
210140,2015,4,0,4
210140,2016,2,0,2
210140,2019,3,0,3
210140,2020,1,0,1
210150,2017,0,0,1
210160,2014,0,1,1
210160,2015,2,0,2
210160,2016,3,0,3
210160,2018,3,0,3
210160,2020,2,0,2
210170,2012,0,1,1
210170,2013,1,0,1
210170,2018,1,0,1
210170,2019,1,0,1
210170,2020,2,0,2
210173,2015,2,0,2
210173,2017,1,0,1
210177,2013,1,0,1
210177,2020,1,0,1
210190,2020,1,0,1
210200,2015,1,0,1
