CODMUNRES,ANO,Obito_MIF_investigado_com_Ficha_Sintese,Obito_MIF_investigado_sem_Ficha_Sintese,TOTAL_OBITOS_MULHER_IDADE_FERTIL
110140,2017,4,0,5
110140,2018,5,0,5
110140,2019,9,0,9
110140,2020,4,0,4
110143,2012,0,1,1
110143,2013,2,0,2
110143,2014,0,0,1
110143,2015,0,0,2
110143,2016,4,0,4
110143,2018,2,0,2
110143,2019,1,0,1
110143,2020,0,0,3
110145,2013,1,0,1
110145,2014,2,0,2
110145,2015,3,0,3
110145,2016,1,0,1
110145,2020,0,0,1
110146,2016,0,1,2
110146,2017,0,0,1
110146,2020,0,0,2
110147,2014,1,0,1
110147,2015,2,0,2
110147,2018,1,0,1
110147,2019,1,0,1
110147,2020,1,0,1
110148,2012,1,0,3
110148,2013,2,0,3
110148,2014,2,0,2
110148,2015,1,0,1
110148,2017,0,2,2
110148,2018,1,0,2
110148,2019,0,0,4
110149,2012,8,0,8
110149,2013,4,0,4
110149,2014,4,0,4
110149,2015,6,0,6
110149,2016,3,0,3
110149,2017,6,0,6
110149,2018,2,0,2
110149,2019,10,0,10
110149,2020,5,0,5
110150,2012,2,0,2
110150,2013,4,0,4
110150,2014,1,0,1
110150,2015,7,0,7
110150,2016,4,0,4
110150,2017,3,0,3
110150,2018,2,0,2
110150,2019,4,0,4
110150,2020,5,0,5
110155,2012,2,0,2
110155,2013,2,0,2
110155,2014,2,0,3
110155,2015,1,0,1
110155,2016,2,0,2
110155,2017,1,0,1
110155,2018,1,0,1
110155,2019,1,0,1
110155,2020,0,2,2
110160,2012,0,0,3
110160,2013,0,3,4
110160,2014,0,0,1
110160,2015,1,0,3
110160,2016,0,0,1
110160,2017,3,0,3
110160,2018,0,0,2
110160,2019,0,0,1
110160,2020,3,0,3
110170,2012,6,0,6
110170,2014,3,0,4
110170,2015,1,0,3
110170,2016,3,0,3
110170,2017,3,0,6
110170,2018,1,0,1
110170,2019,4,0,4
110170,2020,4,0,5
110175,2012,0,0,4
110175,2013,0,0,3
110175,2014,0,0,1
110175,2016,5,0,5
110175,2017,3,0,3
110175,2018,1,0,1
110175,2019,3,0,3
110175,2020,4,0,4
110180,2013,0,0,2
110180,2014,0,0,3
110180,2015,1,0,2
110180,2016,0,0,4
110180,2018,2,0,2
110180,2019,4,0,4
110180,2020,2,0,2
120000,2020,0,0,1
120001,2012,2,0,2
120001,2013,1,0,1
120001,2014,1,0,1
120001,2015,1,0,1
120001,2016,3,0,3
120001,2017,6,0,6
120001,2018,7,0,7
120001,2019,5,0,5
120001,2020,3,0,3
120005,2012,3,0,3
120005,2013,1,0,2
120005,2014,1,0,1
120005,2016,3,0,3
120005,2017,5,0,5
120005,2018,4,0,4
120005,2019,3,0,3
120005,2020,3,0,3
120010,2012,6,0,6
120010,2013,6,0,6
120010,2014,11,0,11
120010,2015,6,0,6
120010,2016,6,0,6
120010,2017,6,0,6
120010,2018,7,0,7
120010,2019,9,0,9
120010,2020,12,0,12
120013,2012,1,0,1
120013,2013,4,0,4
120013,2014,4,0,4
120013,2015,4,0,4
120013,2016,2,0,2
120013,2017,3,0,3
120013,2018,2,0,2
120013,2019,4,0,5
120013,2020,3,0,3
120017,2012,3,0,3
120017,2013,1,0,1
120017,2014,4,0,4
120017,2015,4,0,4
120017,2016,3,0,3
120017,2017,2,0,2
120017,2018,4,0,4
120017,2019,1,0,1
120017,2020,4,0,4
120020,2012,20,0,23
120020,2013,19,0,23
120020,2014,24,0,24
120020,2015,24,0,24
120020,2016,26,0,26
120020,2017,27,0,27
120020,2018,22,0,22
120020,2019,31,0,31
120020,2020,23,0,23
120025,2012,7,0,7
120025,2013,2,0,2
120025,2014,3,0,3
120025,2015,3,0,3
120025,2016,4,0,4
120025,2017,5,0,5
120025,2018,7,0,7
120025,2019,4,0,4
120025,2020,10,0,10
120030,2012,6,0,7
120030,2013,4,0,11
120030,2014,9,0,9
120030,2015,10,0,10
120030,2016,13,0,13
120030,2017,11,0,11
120030,2018,7,0,7
120030,2019,8,0,8
120030,2020,12,0,12
120032,2012,2,0,2
120032,2013,1,0,1
120032,2014,2,0,2
120032,2015,2,0,2
120032,2016,2,0,2
120032,2017,1,0,1
120032,2018,3,0,3
120032,2019,1,0,1
120032,2020,0,0,1
120033,2012,1,0,1
120033,2013,7,0,8
120033,2014,7,0,7
120033,2015,3,0,3
120033,2016,3,0,3
120033,2017,4,0,4
120033,2018,8,0,8
120033,2019,10,0,10
120033,2020,2,0,6
120034,2012,2,0,2
120034,2014,3,0,3
120034,2015,2,0,2
120034,2016,1,0,1
120034,2017,5,0,5
120034,2018,1,0,1
120034,2019,5,0,5
120034,2020,5,0,5
120035,2012,6,0,6
120035,2013,3,0,3
120035,2014,2,0,2
120035,2015,4,0,4
120035,2016,3,0,3
120035,2017,5,0,5
120035,2018,3,0,3
120035,2019,3,0,5
120035,2020,2,0,3
120038,2012,5,0,6
120038,2013,8,0,8
120038,2014,6,0,6
120038,2015,5,0,5
120038,2016,8,0,8
120038,2017,1,0,1
120038,2018,5,0,5
120038,2019,2,0,2
120038,2020,5,0,5
120039,2012,1,0,2
120039,2014,1,0,1
120039,2016,3,0,3
120039,2018,4,0,4
120039,2019,2,0,3
120040,2012,141,0,143
120040,2013,119,1,124
120040,2014,126,0,131
120040,2015,112,1,121
120040,2016,105,0,107
120040,2017,145,0,152
120040,2018,144,0,149
120040,2019,120,1,131
120040,2020,120,2,184
120042,2012,3,0,3
120042,2013,1,0,2
120042,2014,6,0,6
120042,2015,3,0,3
120042,2016,5,0,5
120042,2018,3,0,3
120042,2019,6,0,7
120042,2020,4,0,4
120043,2012,1,0,2
120043,2013,1,0,1
120043,2014,3,0,3
120043,2015,4,0,4
120043,2016,2,0,2
120043,2017,2,0,2
120043,2018,2,0,2
120043,2019,1,0,1
120043,2020,4,0,4
120045,2012,4,0,4
120045,2013,7,0,7
120045,2014,3,0,3
120045,2015,11,0,11
120045,2016,8,0,8
120045,2017,3,0,3
120045,2018,10,0,10
120045,2019,10,0,10
120045,2020,6,0,6
120050,2012,14,0,14
120050,2013,11,0,11
120050,2014,8,0,9
120050,2015,9,0,9
120050,2016,12,0,12
120050,2017,10,0,10
120050,2018,15,0,15
120050,2019,15,0,15
120050,2020,8,0,12
120060,2012,13,0,15
120060,2013,7,0,12
120060,2014,14,0,14
120060,2015,14,0,14
120060,2016,15,0,15
120060,2017,13,0,13
120060,2018,18,0,18
120060,2019,17,0,17
120060,2020,5,0,5
120070,2012,4,0,4
120070,2013,4,0,8
120070,2014,2,0,2
120070,2015,4,0,4
120070,2016,7,0,7
120070,2017,5,0,5
120070,2018,5,0,5
120070,2019,4,0,4
120070,2020,4,0,4
120080,2012,4,0,4
120080,2013,2,0,7
120080,2014,4,0,4
120080,2015,3,0,3
120080,2016,7,0,7
120080,2017,2,0,2
120080,2018,9,0,9
120080,2019,8,0,8
120080,2020,6,0,6
130000,2012,0,1,1
130000,2019,0,0,1
130002,2012,0,2,3
130002,2013,2,2,6
130002,2014,3,0,3
130002,2015,4,0,4
130002,2016,4,0,5
130002,2017,5,0,5
130002,2018,2,0,2
130002,2019,3,0,3
130002,2020,7,0,7
130006,2012,4,0,4
130006,2013,2,0,2
130006,2014,2,0,2
130006,2015,1,0,1
130006,2016,1,0,2
130006,2017,1,0,2
130006,2018,1,0,1
130006,2019,1,0,1
130006,2020,2,0,2
130008,2012,0,0,2
130008,2014,2,1,3
130008,2015,0,0,2
130008,2016,4,0,4
130008,2017,4,0,5
130008,2019,1,0,2
130010,2012,2,0,2
130010,2014,2,0,2
130010,2015,3,0,3
130010,2016,1,0,1
130010,2017,4,0,4
130010,2018,3,0,3
130010,2020,3,0,3
130014,2012,2,0,2
130014,2013,4,0,4
130014,2014,6,0,6
130014,2015,7,0,7
130014,2016,1,0,1
130014,2017,3,0,3
130014,2018,6,0,6
130014,2019,3,0,3
130014,2020,3,0,3
130020,2012,1,0,8
130020,2013,1,1,4
130020,2014,5,1,9
130020,2015,6,0,7
130020,2016,8,0,8
130020,2017,7,0,7
130020,2018,2,0,5
130020,2019,0,0,4
130020,2020,5,0,6
130030,2012,3,0,3
130030,2013,2,1,8
130030,2014,10,0,10
130030,2015,10,0,10
130030,2016,9,0,9
130030,2017,4,0,12
130030,2018,12,0,12
130030,2019,8,0,8
130030,2020,11,0,11
130040,2012,0,0,7
130040,2013,1,0,3
130040,2014,0,0,2
130040,2015,2,0,3
130040,2016,10,0,11
130040,2017,2,0,5
130040,2018,1,0,5
130040,2019,2,0,4
130040,2020,3,0,7
130050,2012,4,0,5
130050,2013,9,0,9
130050,2014,10,0,10
130050,2015,5,0,5
130050,2016,7,0,7
130050,2017,3,0,5
130050,2018,5,0,5
130050,2019,10,0,10
130050,2020,5,0,5
130060,2012,11,0,11
130060,2013,10,0,10
130060,2014,11,0,11
130060,2015,9,0,9
130060,2016,11,0,11
130060,2017,12,0,13
130060,2018,15,0,15
130060,2019,12,0,12
130060,2020,13,0,14
130063,2012,2,0,4
130063,2013,0,2,3
130063,2014,1,1,5
130063,2015,1,0,2
130063,2016,5,0,5
130063,2017,2,0,3
130063,2018,2,0,3
130063,2019,3,0,6
130063,2020,6,0,6
130068,2012,1,0,4
130068,2013,0,0,1
130068,2014,3,0,3
130068,2015,3,0,3
130068,2016,7,0,7
130068,2017,3,0,3
130068,2018,3,0,3
130068,2019,3,0,3
130068,2020,3,0,3
130070,2012,3,0,3
130070,2013,12,0,12
130070,2014,6,0,6
130070,2015,8,0,8
130070,2016,11,0,11
130070,2017,10,0,10
130070,2018,4,0,4
130070,2019,9,0,9
130070,2020,18,0,18
130080,2012,3,0,3
130080,2013,2,0,2
130080,2014,9,0,9
130080,2015,5,0,5
130080,2016,11,0,11
130080,2017,4,0,4
130080,2018,9,0,9
130080,2019,8,0,8
130080,2020,9,0,9
130083,2012,0,0,1
130083,2013,2,0,3
130083,2014,1,0,1
130083,2016,1,0,1
130083,2018,0,0,1
130083,2019,3,0,3
130083,2020,3,0,3
130090,2012,0,1,2
130090,2013,3,0,3
130090,2014,2,0,2
130090,2015,2,0,3
130090,2016,2,0,6
130090,2017,5,0,5
130090,2018,2,0,3
130090,2019,4,0,4
130090,2020,4,0,4
130100,2012,1,0,6
130100,2013,3,0,8
130100,2014,4,0,4
130100,2015,7,0,8
130100,2016,6,0,6
130100,2017,3,0,3
130100,2018,7,0,7
130100,2019,6,0,7
130100,2020,6,0,6
130110,2012,8,0,8
130110,2013,4,0,5
130110,2014,3,0,3
130110,2015,7,0,7
130110,2016,6,0,6
130110,2017,9,0,9
130110,2018,3,0,3
130110,2019,5,0,8
130110,2020,10,0,10
130115,2012,3,0,6
130115,2013,6,0,6
130115,2014,2,0,2
130115,2015,2,0,2
130115,2016,3,0,3
130115,2017,3,0,3
130115,2018,4,0,4
130115,2019,1,0,1
130115,2020,3,0,3
130120,2012,14,0,17
130120,2013,15,0,16
130120,2014,15,0,15
130120,2015,25,0,25
130120,2016,22,0,22
130120,2017,25,0,25
130120,2018,29,0,29
130120,2019,25,0,25
130120,2020,19,0,19
130130,2012,0,0,2
130130,2013,5,1,6
130130,2014,7,0,7
130130,2015,5,0,5
130130,2016,4,0,4
130130,2017,5,0,6
130130,2018,4,0,4
130130,2019,6,0,6
130130,2020,9,0,10
130140,2012,6,0,6
130140,2013,12,0,12
130140,2014,10,0,10
130140,2015,12,0,13
130140,2016,12,0,12
130140,2017,13,0,13
130140,2018,11,0,11
130140,2019,11,0,12
130140,2020,13,0,15
130150,2012,0,0,4
130150,2013,3,0,3
130150,2014,5,0,5
130150,2015,9,0,9
130150,2016,1,0,1
130150,2017,6,0,6
130150,2018,5,0,5
130150,2019,5,0,5
130150,2020,7,0,7
130160,2012,0,1,2
130160,2013,3,0,3
130160,2014,5,0,5
130160,2015,5,0,5
130160,2016,3,0,3
130160,2017,12,0,12
130160,2018,6,0,6
130160,2019,7,0,7
130160,2020,15,0,17
130165,2012,5,0,5
130165,2013,2,0,2
130165,2014,0,0,1
130165,2015,2,0,2
130165,2016,4,0,4
130165,2017,2,0,2
130165,2018,5,0,5
130165,2019,4,0,4
130165,2020,2,0,2
130170,2012,19,0,19
130170,2013,12,0,12
130170,2014,9,0,9
130170,2015,10,0,10
130170,2016,13,0,13
130170,2017,12,0,12
130170,2018,11,0,11
130170,2019,10,0,10
130170,2020,20,0,20
130180,2012,0,0,4
130180,2013,0,0,3
130180,2014,3,0,4
130180,2015,5,0,5
130180,2016,0,0,7
130180,2017,6,0,6
130180,2018,3,0,4
130180,2019,1,0,3
130180,2020,0,0,1
130185,2012,10,0,15
130185,2013,7,1,14
130185,2014,12,0,17
130185,2015,27,0,27
130185,2016,13,0,13
130185,2017,9,0,11
130185,2018,15,0,15
130185,2019,13,0,14
130185,2020,21,0,21
130190,2012,29,0,33
130190,2013,23,0,23
130190,2014,28,0,28
130190,2015,26,0,27
130190,2016,19,0,19
130190,2017,29,0,29
130190,2018,34,0,34
130190,2019,34,0,34
130190,2020,33,0,38
130195,2012,0,0,3
130195,2013,0,1,1
130195,2014,1,0,3
130195,2015,0,0,2
130195,2017,2,0,3
130195,2018,0,0,3
130195,2019,1,0,2
130195,2020,3,0,4
130200,2013,2,0,2
130200,2014,3,0,3
130200,2015,5,0,5
130200,2016,4,0,4
130200,2017,2,0,2
130200,2018,3,0,3
130200,2019,1,0,1
130200,2020,5,0,5
130210,2012,1,0,2
130210,2014,3,0,3
130210,2015,1,0,1
130210,2016,2,0,2
130210,2017,1,0,1
130210,2019,3,0,3
130220,2012,1,0,3
130220,2013,1,1,2
130220,2014,1,0,1
130220,2015,2,0,3
130220,2016,3,0,3
130220,2017,1,0,1
130220,2018,2,0,2
130220,2019,4,0,4
130220,2020,5,0,5
130230,2012,0,0,4
130230,2013,9,0,9
130230,2014,7,0,7
130230,2015,5,0,5
130230,2016,5,0,5
130230,2017,4,0,4
130230,2018,3,0,3
130230,2019,2,0,2
130230,2020,4,0,4
130240,2012,5,0,5
130240,2013,10,0,10
130240,2014,14,0,14
130240,2015,10,0,10
130240,2016,9,0,9
130240,2017,4,0,4
130240,2018,10,0,10
130240,2019,15,0,15
130240,2020,10,0,10
130250,2012,27,1,31
130250,2013,17,0,18
130250,2014,23,0,23
130250,2015,27,0,27
130250,2016,26,0,26
130250,2017,32,0,32
130250,2018,33,0,34
130250,2019,24,0,24
130250,2020,39,0,39
130255,2012,1,0,1
130255,2013,4,0,4
130255,2014,2,0,2
130255,2015,3,0,3
130255,2016,3,0,3
130255,2018,2,0,2
130255,2019,6,0,6
130255,2020,10,1,11
130260,2012,479,1,729
130260,2013,531,16,784
130260,2014,592,8,866
130260,2015,541,1,802
130260,2016,577,2,805
130260,2017,603,7,770
130260,2018,662,7,831
130260,2019,657,7,843
130260,2020,797,15,989
130270,2012,1,0,8
130270,2013,2,2,7
130270,2014,4,0,5
130270,2015,5,0,6
130270,2016,13,0,14
130270,2017,5,0,5
130270,2018,12,0,12
130270,2019,7,0,7
130270,2020,8,0,8
130280,2012,0,0,1
130280,2013,1,0,1
130280,2014,1,0,1
130280,2015,2,0,2
130280,2016,1,0,1
130280,2017,1,0,1
130280,2018,4,0,4
130280,2019,2,0,2
130280,2020,3,0,3
130290,2012,13,0,14
130290,2013,5,1,6
130290,2014,14,0,14
130290,2015,14,0,14
130290,2016,8,0,8
130290,2017,18,0,18
130290,2018,16,0,16
130290,2019,15,0,15
130290,2020,14,0,14
130300,2012,0,0,5
130300,2013,1,0,1
130300,2014,3,0,4
130300,2015,2,0,2
130300,2016,3,1,5
130300,2017,1,0,3
130300,2018,0,4,6
130300,2019,4,0,4
130300,2020,5,0,5
130310,2012,4,0,4
130310,2013,2,0,2
130310,2014,4,0,4
130310,2015,8,0,8
130310,2016,8,0,8
130310,2017,9,0,9
130310,2018,9,0,9
130310,2019,3,0,3
130310,2020,10,0,12
130320,2012,0,0,3
130320,2013,2,0,3
130320,2014,0,2,5
130320,2015,1,0,1
130320,2016,2,0,2
130320,2017,7,0,7
130320,2018,3,0,3
130320,2019,1,0,3
130320,2020,6,0,6
130330,2012,5,0,5
130330,2013,1,0,1
130330,2014,1,0,1
130330,2015,4,0,4
130330,2016,6,0,6
130330,2017,3,0,3
130330,2018,9,0,9
130330,2019,5,0,5
130330,2020,5,0,5
130340,2012,15,0,15
130340,2013,28,0,28
130340,2014,27,0,27
130340,2015,26,0,27
130340,2016,17,0,17
130340,2017,29,0,29
130340,2018,23,0,23
130340,2019,28,0,28
130340,2020,21,0,22
130350,2012,2,0,3
130350,2013,5,0,5
130350,2014,3,0,3
130350,2015,4,0,4
130350,2016,2,0,2
130350,2017,5,0,5
130350,2018,4,0,4
130350,2019,4,0,4
130350,2020,4,0,4
130353,2012,5,0,5
130353,2013,13,0,13
130353,2014,9,0,9
130353,2015,3,0,3
130353,2016,8,0,8
130353,2017,10,0,10
130353,2018,7,0,7
130353,2019,11,0,11
130353,2020,13,0,13
130356,2012,2,0,9
130356,2013,4,0,4
130356,2014,5,0,5
130356,2015,7,0,7
130356,2016,7,0,7
130356,2017,6,0,6
130356,2018,9,0,9
130356,2019,9,0,9
130356,2020,4,0,5
130360,2012,0,0,2
130360,2013,1,1,4
130360,2014,0,1,1
130360,2015,1,0,3
130360,2016,0,0,2
130360,2018,1,1,2
130360,2019,1,0,3
130360,2020,0,1,3
130370,2012,2,0,2
130370,2013,8,1,9
130370,2014,3,0,3
130370,2015,3,1,4
130370,2016,7,0,9
130370,2017,4,0,5
130370,2018,3,0,3
130370,2019,8,0,8
130370,2020,14,0,14
130380,2012,18,0,21
130380,2013,18,1,19
130380,2014,16,1,19
130380,2015,15,0,16
130380,2016,16,1,17
130380,2017,19,1,21
130380,2018,20,0,20
130380,2019,14,1,17
130380,2020,19,4,33
130390,2012,8,0,8
130390,2013,8,0,8
130390,2014,6,0,6
130390,2015,7,0,7
130390,2016,3,1,6
130390,2017,7,0,9
130390,2018,8,0,9
130390,2019,5,0,10
130390,2020,12,0,18
130395,2012,2,0,2
130395,2013,1,0,1
130395,2014,1,0,1
130395,2015,2,1,3
130395,2016,0,3,3
130395,2017,0,3,3
130395,2019,0,1,1
130395,2020,2,0,2
130400,2014,2,0,2
130400,2015,1,0,1
130400,2016,2,0,2
130400,2018,1,0,1
130400,2019,2,0,2
130400,2020,1,0,1
130406,2012,16,0,20
130406,2013,21,0,22
130406,2014,23,0,24
130406,2015,11,0,13
130406,2016,23,0,23
130406,2017,23,0,23
130406,2018,16,0,16
130406,2019,26,0,27
130406,2020,27,0,27
130410,2012,3,0,9
130410,2013,0,0,3
130410,2014,7,0,10
130410,2015,4,0,6
130410,2016,5,0,5
130410,2017,5,0,5
130410,2018,2,0,2
130410,2019,1,0,1
130410,2020,2,0,6
130420,2012,13,0,16
130420,2013,7,0,8
130420,2014,15,0,15
130420,2015,15,0,15
130420,2016,20,0,20
130420,2017,20,0,20
130420,2018,19,0,19
130420,2019,31,0,31
130420,2020,25,0,25
130423,2012,0,0,2
130423,2013,1,0,4
130423,2014,0,0,1
130423,2015,0,0,2
130423,2016,1,1,6
130423,2017,0,0,1
130423,2018,3,0,3
130423,2019,1,0,5
130423,2020,2,0,7
130426,2012,0,0,4
130426,2013,2,0,2
130426,2014,2,0,2
