"CD_MUNICIPIO_BENEFICIARIO","ano","ans_30_a_39","ans_40_a_49","ans_menor_30","ans_total"
150815,2022,1,0,0,1
150820,2020,0,0,1,1
150820,2021,1,0,0,1
150835,2021,1,0,0,1
150840,2015,1,0,2,3
150840,2016,0,1,2,3
150840,2017,0,0,1,1
150840,2018,0,0,1,1
150840,2019,2,0,0,2
150840,2022,1,0,1,2
160005,2015,0,0,2,2
160005,2016,0,0,1,1
160005,2018,1,0,1,2
160005,2021,2,0,0,2
160005,2022,1,0,0,1
160010,2016,1,0,0,1
160010,2017,0,0,3,3
160010,2018,1,0,0,1
160010,2019,3,0,0,3
160010,2020,5,1,0,6
160010,2021,0,0,2,2
160015,2015,1,0,0,1
160015,2021,0,1,0,1
160023,2019,1,0,0,1
160023,2020,1,0,0,1
160023,2021,0,1,0,1
160027,2015,1,1,0,2
160027,2017,1,0,0,1
160027,2020,1,0,0,1
160030,2015,10,8,16,34
160030,2016,28,8,20,56
160030,2017,39,8,16,63
160030,2018,41,10,20,71
160030,2019,26,7,12,45
160030,2020,8,12,14,34
160030,2021,20,2,20,42
160030,2022,12,4,5,21
160050,2018,0,0,1,1
160050,2020,1,0,0,1
160050,2021,0,1,0,1
160053,2015,1,0,0,1
160053,2016,1,2,0,3
160053,2017,0,0,1,1
160053,2018,2,0,3,5
160053,2021,0,0,1,1
160053,2022,1,0,0,1
160060,2015,3,1,5,9
160060,2016,0,0,1,1
160060,2017,3,0,0,3
160060,2018,2,0,1,3
160060,2020,1,0,0,1
160060,2021,2,0,2,4
160060,2022,1,0,0,1
160070,2018,1,0,1,2
170000,2016,1,0,0,1
170000,2020,1,0,0,1
170000,2022,0,1,0,1
170035,2021,1,0,0,1
170040,2017,1,0,1,2
170070,2015,1,0,1,2
170070,2017,1,0,0,1
170070,2018,0,0,1,1
170070,2019,0,1,1,2
170070,2020,0,0,2,2
170070,2022,2,0,0,2
170190,2018,1,0,0,1
170200,2017,1,0,0,1
170210,2015,2,1,5,8
170210,2016,10,2,5,17
170210,2017,11,5,8,24
170210,2018,13,1,6,20
170210,2019,14,3,10,27
170210,2020,7,1,3,11
170210,2021,13,4,3,20
170210,2022,12,5,3,20
170220,2015,0,0,1,1
170220,2016,1,0,1,2
170220,2017,1,0,0,1
170220,2018,3,0,0,3
170220,2019,1,0,0,1
170220,2020,2,1,0,3
170230,2015,1,0,0,1
170230,2021,2,0,0,2
170240,2018,0,1,0,1
170255,2020,1,0,0,1
170305,2017,0,0,1,1
170330,2021,1,0,0,1
170382,2019,1,0,0,1
170384,2016,1,0,0,1
170390,2019,1,0,0,1
170550,2015,0,0,1,1
170550,2016,2,0,0,2
170550,2017,1,1,0,2
170550,2018,1,0,0,1
170550,2019,3,0,0,3
170550,2020,0,1,0,1
170550,2021,0,1,0,1
170550,2022,1,1,0,2
170555,2016,0,1,0,1
170555,2021,1,0,0,1
170610,2015,1,0,0,1
170700,2017,1,0,0,1
170700,2019,2,0,0,2
170700,2020,1,1,0,2
170700,2022,0,0,1,1
170710,2019,0,0,1,1
170755,2016,1,0,0,1
170765,2020,0,1,0,1
170765,2022,0,0,1,1
170770,2015,1,0,0,1
170770,2016,1,0,0,1
170820,2019,1,1,0,2
170820,2020,1,0,1,2
170825,2021,0,0,1,1
170900,2017,0,0,2,2
170900,2018,2,0,0,2
170930,2017,0,0,1,1
170930,2018,1,0,1,2
170930,2019,0,0,1,1
170930,2020,1,0,0,1
170930,2021,2,1,0,3
170930,2022,1,0,0,1
170950,2015,1,0,0,1
170950,2016,7,1,5,13
170950,2017,3,1,1,5
170950,2018,1,1,1,3
170950,2019,2,1,0,3
170950,2020,6,1,6,13
170950,2021,5,1,2,8
170950,2022,5,0,0,5
171200,2015,1,0,0,1
171200,2021,3,0,0,3
171245,2021,0,0,1,1
171250,2020,0,0,1,1
171320,2020,2,1,0,3
171320,2022,0,1,0,1
171330,2021,0,0,1,1
171420,2021,0,0,1,1
171420,2022,0,2,0,2
171430,2019,1,0,0,1
171488,2019,0,0,1,1
171500,2019,1,0,0,1
171500,2021,1,0,0,1
171510,2019,1,0,0,1
171610,2015,0,0,1,1
171610,2017,1,0,0,1
171610,2018,2,0,1,3
171610,2019,2,0,3,5
171610,2020,5,0,4,9
171610,2021,2,0,3,5
171610,2022,2,0,1,3
171620,2022,0,0,1,1
171650,2019,2,0,0,2
171650,2021,0,0,1,1
171650,2022,5,0,1,6
171660,2022,1,0,0,1
171670,2016,0,0,1,1
171670,2018,0,0,1,1
171670,2019,0,0,1,1
171790,2020,1,0,0,1
171820,2015,0,1,0,1
171820,2016,1,0,0,1
171820,2018,2,1,1,4
171820,2019,2,1,2,5
171820,2020,1,1,1,3
171820,2021,2,1,0,3
171820,2022,4,1,0,5
171855,2019,1,0,0,1
171875,2017,0,0,1,1
171886,2018,1,0,0,1
171886,2019,0,0,1,1
172015,2021,1,0,0,1
172020,2022,0,0,1,1
172049,2020,1,0,0,1
172065,2021,1,0,1,2
172085,2022,1,0,0,1
172090,2016,0,1,0,1
172090,2018,2,0,0,2
172090,2019,1,2,0,3
172090,2020,0,0,1,1
172090,2021,1,0,0,1
172090,2022,2,0,1,3
172100,2015,8,1,4,13
172100,2016,3,0,7,10
172100,2017,17,3,8,28
172100,2018,25,3,20,48
172100,2019,28,8,11,47
172100,2020,25,10,17,52
172100,2021,38,11,17,66
172100,2022,29,11,10,50
172120,2016,0,0,1,1
172120,2018,0,1,0,1
172125,2021,1,0,0,1
172210,2017,1,0,1,2
172210,2020,1,0,0,1
210000,2015,1,1,0,2
210000,2016,2,0,0,2
210000,2017,1,1,0,2
210000,2019,2,0,0,2
210005,2015,3,0,0,3
210005,2016,1,0,2,3
210005,2017,2,2,1,5
210005,2018,1,1,3,5
210005,2019,2,0,4,6
210005,2020,2,0,4,6
210005,2021,4,0,7,11
210005,2022,2,1,2,5
210015,2018,0,0,1,1
210015,2021,1,0,0,1
210047,2018,0,0,1,1
210047,2020,1,0,0,1
210060,2015,1,0,0,1
210087,2018,0,0,1,1
210100,2022,0,1,0,1
210120,2015,2,0,1,3
210120,2017,0,0,2,2
210120,2020,0,1,1,2
210120,2021,1,0,0,1
210120,2022,0,0,2,2
210125,2017,1,0,0,1
210125,2019,0,0,1,1
210125,2020,0,2,1,3
210125,2021,0,0,1,1
210125,2022,2,0,0,2
210130,2017,0,0,1,1
210140,2015,2,0,1,3
210140,2017,5,0,2,7
210140,2018,2,0,2,4
210140,2019,2,0,2,4
210140,2020,5,0,1,6
210140,2021,3,0,1,4
210140,2022,2,2,0,4
210150,2017,1,0,0,1
210150,2018,1,0,0,1
210150,2021,1,0,0,1
210160,2017,1,0,0,1
210160,2019,0,1,0,1
210160,2021,2,0,0,2
210160,2022,1,0,0,1
210170,2015,0,1,0,1
210170,2017,0,0,1,1
210170,2019,0,0,1,1
210170,2021,1,0,0,1
210170,2022,0,0,1,1
210203,2018,1,0,0,1
210203,2020,1,0,0,1
210203,2021,0,0,1,1
210210,2016,0,0,1,1
210210,2019,1,0,0,1
210220,2018,2,0,0,2
210220,2019,1,0,0,1
210220,2021,0,0,1,1
210230,2017,0,1,0,1
210232,2016,1,0,0,1
210232,2017,1,0,0,1
210232,2021,2,0,0,2
210237,2021,1,0,0,1
210255,2016,0,0,2,2
210255,2019,1,0,0,1
210255,2022,2,0,0,2
210260,2021,0,0,1,1
210275,2020,0,0,1,1
210280,2020,1,0,0,1
210280,2022,0,0,1,1
210300,2015,3,1,2,6
210300,2016,4,0,2,6
210300,2017,5,2,4,11
210300,2018,4,0,3,7
210300,2019,8,1,0,9
210300,2020,7,0,1,8
210300,2021,9,0,3,12
210300,2022,8,1,6,15
210310,2017,0,0,1,1
210317,2019,0,1,0,1
210320,2016,0,0,2,2
210320,2017,0,1,0,1
210320,2018,0,0,1,1
210320,2021,2,0,3,5
210330,2016,1,0,0,1
210330,2017,2,0,0,2
210330,2019,0,0,1,1
210330,2020,1,0,0,1
210330,2021,2,0,3,5
210330,2022,1,1,0,2
210340,2016,1,0,0,1
210340,2017,2,1,1,4
210340,2018,5,2,1,8
210340,2019,5,2,1,8
210340,2020,1,2,2,5
210340,2021,2,2,0,4
210340,2022,3,0,2,5
210350,2017,0,0,1,1
210350,2018,0,0,1,1
210350,2021,1,0,0,1
210360,2020,1,0,0,1
210360,2022,1,0,0,1
210375,2021,0,0,1,1
210375,2022,0,0,1,1
210380,2021,0,1,0,1
210390,2020,0,0,1,1
210400,2020,0,1,1,2
210405,2015,2,0,0,2
210405,2021,1,0,0,1
210409,2021,1,0,0,1
210430,2015,1,0,0,1
210430,2018,0,0,1,1
210440,2020,1,0,0,1
210440,2022,1,0,0,1
210450,2017,0,0,1,1
210455,2015,1,0,0,1
210455,2022,1,0,1,2
210460,2018,0,1,0,1
210467,2016,0,0,1,1
210480,2022,0,0,1,1
210510,2018,0,0,1,1
210520,2017,0,0,1,1
210530,2015,28,7,15,50
210530,2016,18,3,18,39
210530,2017,35,6,27,68
210530,2018,30,5,10,45
210530,2019,28,3,13,44
210530,2020,11,1,9,21
210530,2021,20,5,12,37
210530,2022,29,4,14,47
210540,2015,0,0,1,1
210540,2016,1,0,0,1
210540,2017,0,0,1,1
210540,2020,1,1,0,2
210540,2022,1,0,0,1
210550,2015,2,0,0,2
210550,2016,1,0,0,1
210550,2018,1,0,0,1
210550,2020,0,0,1,1
210550,2022,1,0,0,1
210560,2015,0,1,0,1
210560,2016,1,1,0,2
210560,2017,5,0,0,5
210560,2018,0,1,1,2
210560,2019,2,0,0,2
210570,2019,0,0,2,2
210570,2020,2,0,0,2
210570,2021,1,0,0,1
210600,2016,1,0,0,1
210610,2020,2,0,0,2
210630,2016,1,0,0,1
210632,2017,0,0,1,1
210632,2021,0,0,1,1
210650,2017,1,0,0,1
210650,2019,0,0,1,1
210650,2021,1,0,0,1
210660,2017,0,0,1,1
210660,2018,0,1,1,2
210660,2019,1,0,1,2
210660,2021,0,1,0,1
210660,2022,1,0,0,1
210663,2015,0,0,1,1
210680,2018,1,0,0,1
210690,2016,0,0,1,1
210700,2015,0,1,0,1
210720,2019,1,0,0,1
210740,2016,0,0,2,2
210740,2019,1,0,0,1
210745,2015,0,1,0,1
210745,2017,0,0,1,1
210750,2015,2,1,4,7
210750,2016,5,0,6,11
210750,2017,5,1,3,9
210750,2018,9,2,5,16
210750,2019,12,2,7,21
210750,2020,24,2,2,28
210750,2021,17,5,4,26
210750,2022,33,9,10,52
210770,2020,1,0,0,1
210780,2017,3,0,0,3
210780,2019,1,0,1,2
210780,2020,1,0,0,1
210780,2022,1,0,0,1
210790,2017,2,0,0,2
210800,2016,0,0,1,1
210800,2017,0,0,1,1
210800,2021,1,0,0,1
210820,2017,1,0,0,1
210820,2018,3,0,0,3
210820,2019,1,0,0,1
210820,2020,2,0,1,3
210820,2021,1,0,0,1
210840,2021,1,0,0,1
210845,2019,1,0,0,1
210850,2015,0,1,0,1
210850,2021,1,0,0,1
210860,2015,0,0,1,1
210860,2018,1,0,0,1
210860,2021,2,0,0,2
210890,2022,2,0,0,2
210900,2015,1,0,0,1
210900,2016,1,0,1,2
210900,2019,1,0,0,1
210900,2020,1,0,0,1
210900,2022,1,0,0,1
210910,2020,0,1,0,1
210910,2021,1,0,1,2
210910,2022,0,1,0,1
210945,2016,1,0,0,1
210945,2018,1,0,0,1
210945,2019,2,0,1,3
210945,2020,2,4,0,6
210945,2021,1,0,0,1
210945,2022,3,0,0,3
210960,2016,0,0,2,2
210960,2019,1,0,0,1
210960,2022,2,0,1,3
210980,2016,0,0,1,1
210990,2015,1,0,0,1
210990,2016,1,0,2,3
210990,2017,0,0,1,1
210990,2018,0,0,3,3
210990,2019,1,0,0,1
210990,2020,1,0,0,1
210990,2021,4,0,2,6
210990,2022,3,0,1,4
211000,2015,1,0,0,1
211000,2018,1,0,1,2
211000,2020,1,0,0,1
211003,2018,0,0,1,1
211010,2021,1,0,0,1
211010,2022,0,0,1,1
211020,2016,1,0,1,2
211020,2017,3,0,1,4
211020,2019,2,0,1,3
211020,2020,2,0,0,2
211030,2020,0,0,1,1
211060,2019,1,0,0,1
211060,2020,1,0,0,1
211060,2021,1,0,0,1
211060,2022,0,0,1,1
211065,2022,1,0,0,1
211070,2019,1,0,0,1
211090,2019,0,1,0,1
211100,2017,1,0,0,1
211100,2019,0,1,0,1
211107,2017,1,0,0,1
211110,2018,0,0,1,1
211110,2019,1,0,1,2
211110,2020,0,1,0,1
211110,2022,0,2,0,2
211120,2015,11,2,4,17
211120,2016,7,3,5,15
211120,2017,9,1,5,15
211120,2018,11,0,3,14
211120,2019,16,2,9,27
211120,2020,24,4,10,38
211120,2021,28,5,20,53
211120,2022,25,14,38,77
211130,2015,89,23,67,179
211130,2016,80,14,61,155
211130,2017,97,16,54,167
211130,2018,92,7,43,142
211130,2019,144,30,85,259
211130,2020,176,42,93,311
211130,2021,193,42,117,352
211130,2022,214,62,100,376
211150,2017,1,0,0,1
211150,2019,0,0,1,1
211153,2018,1,0,0,1
211172,2019,1,0,0,1
211176,2015,0,0,2,2
211195,2022,1,0,0,1
211200,2017,0,0,1,1
211200,2021,0,0,1,1
211210,2020,1,0,0,1
211220,2015,4,1,7,12
211220,2016,8,2,11,21
211220,2017,18,1,8,27
211220,2018,8,0,10,18
211220,2019,13,1,7,21
211220,2020,17,8,10,35
211220,2021,10,5,15,30
211220,2022,16,3,8,27
211230,2019,1,0,0,1
211250,2017,0,0,1,1
211250,2018,0,0,1,1
211250,2019,0,0,1,1
211270,2019,2,0,0,2
211280,2016,1,0,0,1
211280,2017,3,0,0,3
211280,2018,2,0,0,2
211280,2019,1,0,0,1
211280,2020,1,0,1,2
211280,2022,1,0,2,3
211285,2021,0,0,1,1
211290,2016,0,1,0,1
211300,2020,1,0,0,1
220005,2017,1,0,0,1
220010,2017,0,0,1,1
220020,2018,1,0,0,1
220020,2020,3,0,0,3
220020,2021,2,0,0,2
220020,2022,0,1,0,1
220030,2020,1,0,0,1
220040,2016,0,0,2,2
220040,2017,1,1,3,5
220040,2018,0,0,2,2
220040,2019,4,0,0,4
220040,2020,2,2,0,4
220040,2021,1,0,2,3
220040,2022,1,1,0,2
220050,2017,0,1,0,1
